Airline;Day_of_Journey ;Month_of_Journey ;Year_of_Journey ;Dep_Time;Arrival_Time;Arrival_Day;Arrival_Month;Duration;Total_Stops;Price;ID_Voo;fk_ID_Rota
IndiGo;27;5;2019;19:35;21:55;27;5;2h 20m;0;3597;177;1
SpiceJet;3;5;2019;17:45;20:05;3;5;2h 20m;0;3597;178;1
SpiceJet;3;6;2019;17:45;20:05;3;6;2h 20m;0;3597;179;1
IndiGo;24;5;2019;05:15;07:40;24;5;2h 25m;0;3850;180;1
Vistara;1;5;2019;17:45;20:05;1;5;2h 20m;0;11982;181;1
SpiceJet;18;6;2019;09:45;12:00;18;6;2h 15m;0;3543;182;1
SpiceJet;21;6;2019;09:45;12:00;21;6;2h 15m;0;3543;183;1
SpiceJet;1;6;2019;08:20;10:35;1;6;2h 15m;0;3543;184;1
IndiGo;21;3;2019;11:35;14:00;21;3;2h 25m;0;3858;185;1
SpiceJet;27;5;2019;08:20;10:35;27;5;2h 15m;0;3597;186;1
IndiGo;12;5;2019;22:05;00:25;13;5;2h 20m;0;5277;187;1
SpiceJet;9;5;2019;08:20;10:35;9;5;2h 15m;0;3911;188;1
IndiGo;21;3;2019;05:15;07:35;21;3;2h 20m;0;4326;189;1
SpiceJet;27;6;2019;17:45;20:05;27;6;2h 20m;0;3543;190;1
IndiGo;12;6;2019;14:45;17:05;12;6;2h 20m;0;3597;191;1
IndiGo;6;3;2019;11:35;14:00;6;3;2h 25m;0;7295;192;1
Vistara;15;6;2019;17:45;20:05;15;6;2h 20m;0;11982;193;1
Air India;27;3;2019;11:40;13:55;27;3;2h 15m;0;3145;194;1
SpiceJet;1;5;2019;08:20;10:35;1;5;2h 15m;0;3597;195;1
Vistara;3;5;2019;07:05;09:20;3;5;2h 15m;0;3687;196;1
IndiGo;15;5;2019;07:55;10:15;15;5;2h 20m;0;3850;197;1
SpiceJet;15;6;2019;08:20;10:35;15;6;2h 15m;0;3597;198;1
IndiGo;1;3;2019;14:40;17:05;1;3;2h 25m;0;7295;199;1
SpiceJet;24;5;2019;09:45;12:00;24;5;2h 15m;0;3597;200;1
SpiceJet;6;5;2019;17:45;20:05;6;5;2h 20m;0;3543;201;1
SpiceJet;18;5;2019;08:20;10:35;18;5;2h 15m;0;3543;202;1
IndiGo;15;6;2019;11:35;14:00;15;6;2h 25m;0;3858;203;1
IndiGo;15;3;2019;07:55;10:15;15;3;2h 20m;0;6297;204;1
IndiGo;12;3;2019;22:05;00:30;13;3;2h 25m;0;6297;205;1
SpiceJet;15;3;2019;17:45;20:05;15;3;2h 20m;0;6300;206;1
IndiGo;1;3;2019;11:35;14:00;1;3;2h 25m;0;7900;207;1
IndiGo;9;5;2019;11:35;14:00;9;5;2h 25m;0;4332;208;1
IndiGo;27;6;2019;13:15;15:35;27;6;2h 20m;0;3597;209;1
SpiceJet;24;3;2019;09:30;12:05;24;3;2h 35m;0;3859;210;1
IndiGo;21;6;2019;19:35;21:55;21;6;2h 20m;0;3597;211;1
SpiceJet;6;5;2019;09:45;12:00;6;5;2h 15m;0;3543;212;1
IndiGo;21;6;2019;11:35;14:00;21;6;2h 25m;0;3858;213;1
SpiceJet;1;5;2019;08:20;10:35;1;5;2h 15m;0;3543;214;1
Air India;21;5;2019;11:40;13:55;21;5;2h 15m;0;4667;215;1
Vistara;9;5;2019;07:05;09:20;9;5;2h 15m;0;3687;216;1
IndiGo;12;6;2019;22:05;00:25;13;6;2h 20m;0;5277;217;1
IndiGo;21;3;2019;19:35;21:55;21;3;2h 20m;0;3384;218;1
IndiGo;15;6;2019;19:35;21:55;15;6;2h 20m;0;3597;219;1
IndiGo;21;3;2019;13:20;15:35;21;3;2h 15m;0;3384;220;1
Vistara;15;3;2019;07:05;09:20;15;3;2h 15m;0;6627;221;1
Vistara;12;6;2019;17:45;20:05;12;6;2h 20m;0;11982;222;1
SpiceJet;27;5;2019;08:20;10:35;27;5;2h 15m;0;3543;223;1
IndiGo;1;6;2019;07:55;10:15;1;6;2h 20m;0;3850;224;1
SpiceJet;12;5;2019;17:45;20:05;12;5;2h 20m;0;3597;225;1
SpiceJet;24;6;2019;08:20;10:35;24;6;2h 15m;0;3543;226;1
IndiGo;27;6;2019;14:45;17:05;27;6;2h 20m;0;3597;227;1
Air India;12;5;2019;11:40;13:55;12;5;2h 15m;0;4667;228;1
SpiceJet;1;6;2019;17:45;20:05;1;6;2h 20m;0;3543;229;1
SpiceJet;6;3;2019;17:45;20:05;6;3;2h 20m;0;7298;230;1
Vistara;18;5;2019;17:45;20:05;18;5;2h 20m;0;11982;231;1
Air India;24;3;2019;11:40;13:55;24;3;2h 15m;0;4405;232;1
SpiceJet;27;6;2019;08:20;10:35;27;6;2h 15m;0;3543;233;1
SpiceJet;24;6;2019;09:45;12:00;24;6;2h 15m;0;3859;234;1
SpiceJet;6;3;2019;09:30;12:05;6;3;2h 35m;0;7298;235;1
Vistara;3;3;2019;07:05;09:20;3;3;2h 15m;0;5944;236;1
IndiGo;15;6;2019;13:15;15:35;15;6;2h 20m;0;3597;237;1
IndiGo;12;5;2019;19:35;21:55;12;5;2h 20m;0;3597;238;1
IndiGo;24;6;2019;11:35;14:00;24;6;2h 25m;0;3858;239;1
SpiceJet;9;3;2019;17:45;20:05;9;3;2h 20m;0;6300;240;1
SpiceJet;15;5;2019;17:45;20:05;15;5;2h 20m;0;3597;241;1
IndiGo;1;5;2019;05:15;07:40;1;5;2h 25m;0;3850;242;1
IndiGo;1;5;2019;19:35;21:55;1;5;2h 20m;0;3597;243;1
SpiceJet;3;6;2019;17:45;20:05;3;6;2h 20m;0;3543;244;1
SpiceJet;3;6;2019;09:45;12:00;3;6;2h 15m;0;3859;245;1
SpiceJet;3;6;2019;08:20;10:35;3;6;2h 15m;0;3543;246;1
IndiGo;27;3;2019;13:20;15:35;27;3;2h 15m;0;3384;247;1
SpiceJet;12;3;2019;17:45;20:05;12;3;2h 20m;0;6300;248;1
SpiceJet;9;5;2019;09:45;12:00;9;5;2h 15m;0;3543;249;1
IndiGo;1;6;2019;11:35;14:00;1;6;2h 25m;0;3858;250;1
SpiceJet;6;5;2019;08:20;10:35;6;5;2h 15m;0;3911;251;1
IndiGo;6;5;2019;13:15;15:35;6;5;2h 20m;0;3597;252;1
SpiceJet;15;3;2019;09:30;12:05;15;3;2h 35m;0;6300;253;1
SpiceJet;24;3;2019;17:45;20:05;24;3;2h 20m;0;5418;254;1
SpiceJet;18;6;2019;08:20;10:35;18;6;2h 15m;0;3543;255;1
IndiGo;1;5;2019;11:35;14:00;1;5;2h 25m;0;4332;256;1
IndiGo;27;6;2019;19:35;21:55;27;6;2h 20m;0;3597;257;1
Vistara;3;5;2019;17:45;20:05;3;5;2h 20m;0;11982;258;1
SpiceJet;12;3;2019;09:30;12:05;12;3;2h 35m;0;6300;259;1
IndiGo;27;3;2019;14:40;17:05;27;3;2h 25m;0;3384;260;1
Vistara Premium economy;1;3;2019;07:05;09:20;1;3;2h 15m;0;9125;261;1
IndiGo;24;6;2019;13:15;15:35;24;6;2h 20m;0;3597;262;1
SpiceJet;27;6;2019;17:45;20:05;27;6;2h 20m;0;3597;263;1
SpiceJet;6;6;2019;09:45;12:00;6;6;2h 15m;0;3543;264;1
IndiGo;3;5;2019;11:35;14:00;3;5;2h 25m;0;4332;265;1
IndiGo;24;3;2019;07:55;10:15;24;3;2h 20m;0;4326;266;1
IndiGo;15;6;2019;14:45;17:05;15;6;2h 20m;0;3597;267;1
IndiGo;15;3;2019;13:20;15:35;15;3;2h 15m;0;6297;268;1
Air India;15;3;2019;11:40;13:55;15;3;2h 15m;0;7082;269;1
SpiceJet;15;3;2019;08:20;10:35;15;3;2h 15m;0;6300;270;1
IndiGo;9;6;2019;13:15;15:35;9;6;2h 20m;0;3597;271;1
IndiGo;12;5;2019;11:35;14:00;12;5;2h 25m;0;4332;272;1
SpiceJet;3;5;2019;17:45;20:05;3;5;2h 20m;0;3543;273;1
IndiGo;6;3;2019;19:35;21:55;6;3;2h 20m;0;7295;274;1
IndiGo;18;3;2019;07:55;10:15;18;3;2h 20m;0;3850;275;1
IndiGo;24;6;2019;22:05;00:25;25;6;2h 20m;0;5277;276;1
SpiceJet;3;5;2019;08:20;10:35;3;5;2h 15m;0;3543;277;1
IndiGo;27;5;2019;22:05;00:25;28;5;2h 20m;0;5277;278;1
SpiceJet;1;3;2019;17:45;20:05;1;3;2h 20m;0;7718;279;1
SpiceJet;15;5;2019;08:20;10:35;15;5;2h 15m;0;3597;280;1
IndiGo;6;5;2019;22:05;00:25;7;5;2h 20m;0;5277;281;1
Vistara;15;5;2019;17:45;20:05;15;5;2h 20m;0;11982;282;1
SpiceJet;9;5;2019;09:45;12:00;9;5;2h 15m;0;3597;283;1
IndiGo;18;5;2019;22:05;00:25;19;5;2h 20m;0;5277;284;1
IndiGo;24;3;2019;05:15;07:35;24;3;2h 20m;0;4326;285;1
IndiGo;3;5;2019;14:45;17:05;3;5;2h 20m;0;3858;286;1
Vistara;24;6;2019;17:45;20:05;24;6;2h 20m;0;11982;287;1
IndiGo;18;6;2019;07:55;10:15;18;6;2h 20m;0;3850;288;1
IndiGo;24;5;2019;07:55;10:15;24;5;2h 20m;0;3850;289;1
IndiGo;18;5;2019;14:45;17:05;18;5;2h 20m;0;3858;290;1
SpiceJet;21;6;2019;17:45;20:05;21;6;2h 20m;0;3597;291;1
IndiGo;9;6;2019;14:45;17:05;9;6;2h 20m;0;3597;292;1
IndiGo;15;6;2019;22:05;00:25;16;6;2h 20m;0;5277;293;1
IndiGo;9;3;2019;19:35;21:55;9;3;2h 20m;0;6297;294;1
IndiGo;6;6;2019;19:35;21:55;6;6;2h 20m;0;3597;295;1
IndiGo;3;3;2019;07:55;10:15;3;3;2h 20m;0;7295;296;1
Vistara;6;6;2019;17:45;20:05;6;6;2h 20m;0;11982;297;1
Air India;9;3;2019;11:40;13:55;9;3;2h 15m;0;7817;298;1
IndiGo;1;5;2019;13:15;15:35;1;5;2h 20m;0;3597;299;1
SpiceJet;24;5;2019;08:20;10:35;24;5;2h 15m;0;3543;300;1
IndiGo;15;3;2019;14:40;17:05;15;3;2h 25m;0;6297;301;1
SpiceJet;18;3;2019;17:45;20:05;18;3;2h 20m;0;3384;302;1
IndiGo;3;3;2019;13:20;15:35;3;3;2h 15m;0;7295;303;1
SpiceJet;1;5;2019;09:45;12:00;1;5;2h 15m;0;3597;304;1
IndiGo;15;6;2019;15:40;18:25;15;6;2h 45m;0;3540;305;1
IndiGo;9;5;2019;07:55;10:15;9;5;2h 20m;0;3850;306;1
Vistara;6;6;2019;07:05;09:20;6;6;2h 15m;0;3687;307;1
IndiGo;9;6;2019;07:55;10:15;9;6;2h 20m;0;3850;308;1
IndiGo;12;3;2019;11:35;14:00;12;3;2h 25m;0;6297;309;1
IndiGo;24;3;2019;11:35;14:00;24;3;2h 25m;0;4332;310;1
SpiceJet;6;6;2019;08:20;10:35;6;6;2h 15m;0;3597;311;1
SpiceJet;18;5;2019;17:45;20:05;18;5;2h 20m;0;3543;312;1
SpiceJet;27;5;2019;17:45;20:05;27;5;2h 20m;0;3543;313;1
IndiGo;6;6;2019;14:45;17:05;6;6;2h 20m;0;3597;314;1
IndiGo;21;6;2019;14:45;17:05;21;6;2h 20m;0;3597;315;1
Air India;3;3;2019;11:40;13:55;3;3;2h 15m;0;10810;316;1
IndiGo;15;6;2019;05:15;07:40;15;6;2h 25m;0;3540;317;1
IndiGo;18;3;2019;19:35;21:55;18;3;2h 20m;0;4332;318;1
SpiceJet;24;5;2019;09:45;12:00;24;5;2h 15m;0;3543;319;1
SpiceJet;1;5;2019;17:45;20:05;1;5;2h 20m;0;3543;320;1
IndiGo;1;6;2019;14:45;17:05;1;6;2h 20m;0;3597;321;1
IndiGo;3;5;2019;19:35;21:55;3;5;2h 20m;0;3597;322;1
IndiGo;1;3;2019;07:55;10:15;1;3;2h 20m;0;8580;323;1
SpiceJet;27;3;2019;17:45;20:05;27;3;2h 20m;0;3332;324;1
IndiGo;3;5;2019;07:55;10:15;3;5;2h 20m;0;3850;325;1
IndiGo;18;6;2019;05:15;07:40;18;6;2h 25m;0;3540;326;1
IndiGo;3;6;2019;22:05;00:25;4;6;2h 20m;0;5277;327;1
Vistara;12;6;2019;07:05;09:20;12;6;2h 15m;0;3687;328;1
IndiGo;3;5;2019;22:05;00:25;4;5;2h 20m;0;5277;329;1
Vistara;24;5;2019;17:45;20:05;24;5;2h 20m;0;11982;330;1
SpiceJet;9;6;2019;08:20;10:35;9;6;2h 15m;0;3543;331;1
SpiceJet;9;6;2019;09:45;12:00;9;6;2h 15m;0;3543;332;1
SpiceJet;9;6;2019;17:45;20:05;9;6;2h 20m;0;3543;333;1
SpiceJet;15;6;2019;09:45;12:00;15;6;2h 15m;0;3543;334;1
SpiceJet;18;6;2019;17:45;20:05;18;6;2h 20m;0;3597;335;1
IndiGo;9;5;2019;19:35;21:55;9;5;2h 20m;0;3597;336;1
SpiceJet;21;5;2019;17:45;20:05;21;5;2h 20m;0;3597;337;1
IndiGo;24;3;2019;19:35;21:55;24;3;2h 20m;0;7295;338;1
IndiGo;24;3;2019;13:20;15:35;24;3;2h 15m;0;4752;339;1
SpiceJet;3;6;2019;08:20;10:35;3;6;2h 15m;0;3597;340;1
Air India;6;3;2019;11:40;13:55;6;3;2h 15m;0;9340;341;1
SpiceJet;9;6;2019;09:45;12:00;9;6;2h 15m;0;3597;342;1
SpiceJet;12;5;2019;08:20;10:35;12;5;2h 15m;0;3597;343;1
IndiGo;24;6;2019;19:35;21:55;24;6;2h 20m;0;3597;344;1
IndiGo;21;6;2019;13:15;15:35;21;6;2h 20m;0;3597;345;1
IndiGo;21;5;2019;07:55;10:15;21;5;2h 20m;0;3850;346;1
IndiGo;1;6;2019;19:35;21:55;1;6;2h 20m;0;3597;347;1
IndiGo;9;3;2019;13:20;15:35;9;3;2h 15m;0;6297;348;1
SpiceJet;9;6;2019;17:45;20:05;9;6;2h 20m;0;3597;349;1
IndiGo;3;6;2019;13:15;15:35;3;6;2h 20m;0;3597;350;1
SpiceJet;6;5;2019;17:45;20:05;6;5;2h 20m;0;3597;351;1
IndiGo;15;5;2019;22:05;00:25;16;5;2h 20m;0;5277;352;1
SpiceJet;3;3;2019;08:20;10:35;3;3;2h 15m;0;7050;353;1
